what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1349667307801
started,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1349667311645
started,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1349667311664
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349667312909
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349667314792
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1349667315243
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349667322427
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349667324153
activated,editor,com.android.ide.eclipse.adt,10.0.1.v201103111512-110841,"com.android.ide.eclipse.editors.layout.LayoutEditor",1349667372690
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1349667559713
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.ContentOutline",1349667562125
activated,editor,com.android.ide.eclipse.adt,10.0.1.v201103111512-110841,"com.android.ide.eclipse.editors.layout.LayoutEditor",1349667563401
error,log,,,"selecter.xml: error!",1349667564058
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1349667564167
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.ContentOutline",1349667568204
error,log,,,"selecter.xml: error!",1349667574655
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1349667574769
error,log,,,"selecter.xml: error!",1349667575972
error,log,,,"selecter.xml: error!",1349667575986
error,log,,,"selecter.xml: UnsupportedOperationException: Can't convert to dimension: 13",1349667575987
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1349667575995
error,log,,,"selecter.xml: error!",1349667576546
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1349667576677
error,log,,,"selecter.xml: error!",1349667577098
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1349667577204
error,log,,,"selecter.xml: error!",1349667577718
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1349667577857
error,log,,,"selecter.xml: error!",1349667578260
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1349667578390
error,log,,,"selecter.xml: error!",1349667578913
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1349667579050
error,log,,,"selecter.xml: error!",1349667579412
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1349667579956
error,log,,,"selecter.xml: error!",1349667579968
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1349667580071
error,log,,,"selecter.xml: error!",1349667580452
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1349667580574
error,log,,,"selecter.xml: error!",1349667580972
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1349667581087
error,log,,,"selecter.xml: error!",1349667581453
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1349667581568
error,log,,,"selecter.xml: error!",1349667581967
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1349667582072
error,log,,,"selecter.xml: error!",1349667582459
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1349667582593
error,log,,,"selecter.xml: error!",1349667582893
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1349667583023
error,log,,,"selecter.xml: error!",1349667583339
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1349667583470
error,log,,,"selecter.xml: error!",1349667583756
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1349667583920
error,log,,,"selecter.xml: error!",1349667584165
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1349667584301
error,log,,,"selecter.xml: error!",1349667584581
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1349667584697
error,log,,,"selecter.xml: error!",1349667584972
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1349667585097
error,log,,,"selecter.xml: error!",1349667585357
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1349667585489
error,log,,,"selecter.xml: error!",1349667585740
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1349667585868
error,log,,,"selecter.xml: error!",1349667586140
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1349667586280
error,log,,,"selecter.xml: error!",1349667586517
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1349667586648
